timestamp,open,high,low,close,volume,open_interest
2026-07-14 09:15:00,1290.3,1296.2,1290.3,1295.4,289536,
2026-07-14 09:20:00,1295.3,1297.9,1295.1,1297.7,208045,
2026-07-14 09:25:00,1297.6,1298.6,1296.2,1297.3,195651,
2026-07-14 09:30:00,1297.2,1298.0,1295.6,1297.3,159964,
2026-07-14 09:35:00,1297.2,1298.0,1295.1,1295.4,245429,
2026-07-14 09:40:00,1295.2,1297.5,1294.5,1297.2,175169,
2026-07-14 09:45:00,1297.1,1297.4,1295.3,1296.2,117835,
2026-07-14 09:50:00,1296.3,1296.7,1295.0,1295.0,83797,
2026-07-14 09:55:00,1295.6,1299.0,1295.0,1298.4,185280,
2026-07-14 10:00:00,1298.0,1301.9,1297.7,1299.2,475250,
2026-07-14 10:05:00,1299.3,1300.3,1299.1,1300.1,151195,
2026-07-14 10:10:00,1299.9,1300.7,1297.6,1298.4,153415,
2026-07-14 10:15:00,1298.1,1299.4,1296.3,1297.9,140910,
2026-07-14 10:20:00,1298.0,1299.8,1297.7,1298.4,107265,
2026-07-14 10:25:00,1298.5,1298.9,1297.6,1298.0,72751,
2026-07-14 10:30:00,1297.9,1299.2,1297.5,1298.3,63122,
2026-07-14 10:35:00,1298.9,1299.1,1298.1,1299.1,65270,
2026-07-14 10:40:00,1299.0,1301.7,1297.7,1301.4,192015,
2026-07-14 10:45:00,1301.5,1304.8,1301.4,1304.4,240137,
2026-07-14 10:50:00,1304.5,1305.7,1303.4,1305.5,173806,
2026-07-14 10:55:00,1305.4,1307.4,1305.2,1307.1,148110,
2026-07-14 11:00:00,1307.4,1308.0,1305.0,1305.4,130539,
2026-07-14 11:05:00,1305.0,1306.0,1304.0,1304.5,123091,
2026-07-14 11:10:00,1304.8,1305.0,1303.3,1303.5,55209,
2026-07-14 11:15:00,1303.6,1304.6,1302.5,1303.3,175527,
2026-07-14 11:20:00,1303.5,1304.9,1302.5,1304.6,103247,
2026-07-14 11:25:00,1304.3,1304.7,1303.2,1303.3,100461,
2026-07-14 11:30:00,1303.2,1303.8,1301.3,1301.3,50673,
2026-07-14 11:35:00,1301.4,1302.7,1300.1,1300.4,114268,
2026-07-14 11:40:00,1300.3,1301.4,1300.0,1300.4,127125,
2026-07-14 11:45:00,1300.0,1302.0,1300.0,1301.1,80359,
2026-07-14 11:50:00,1301.2,1302.9,1300.7,1300.7,74288,
2026-07-14 11:55:00,1300.8,1302.2,1300.1,1301.6,161868,
2026-07-14 12:00:00,1301.7,1303.5,1301.5,1303.1,60636,
2026-07-14 12:05:00,1303.4,1303.4,1300.8,1302.2,118851,
2026-07-14 12:10:00,1302.3,1302.6,1300.4,1301.0,159354,
2026-07-14 12:15:00,1301.1,1301.1,1299.3,1300.7,170196,
2026-07-14 12:20:00,1300.6,1300.6,1300.0,1300.2,93826,
2026-07-14 12:25:00,1300.1,1300.3,1298.1,1298.3,100993,
2026-07-14 12:30:00,1298.4,1299.6,1298.0,1299.2,166594,
2026-07-14 12:35:00,1299.3,1301.0,1299.0,1300.4,112653,
2026-07-14 12:40:00,1300.3,1301.6,1300.0,1301.0,99944,
2026-07-14 12:45:00,1300.9,1301.9,1300.0,1301.6,108994,
2026-07-14 12:50:00,1301.3,1301.8,1301.0,1301.1,48101,
2026-07-14 12:55:00,1301.4,1302.9,1301.2,1302.3,104502,
2026-07-14 13:00:00,1302.2,1303.0,1301.2,1302.6,97190,
2026-07-14 13:05:00,1302.8,1303.4,1302.2,1303.2,55425,
2026-07-14 13:10:00,1303.4,1303.4,1300.5,1300.5,96056,
2026-07-14 13:15:00,1300.8,1302.4,1300.1,1301.6,120133,
2026-07-14 13:20:00,1302.1,1302.5,1300.9,1301.1,77611,
2026-07-14 13:25:00,1301.2,1302.5,1300.3,1301.9,103538,
2026-07-14 13:30:00,1301.8,1302.0,1300.0,1300.5,87722,
2026-07-14 13:35:00,1300.7,1300.7,1297.5,1297.9,120647,
2026-07-14 13:40:00,1298.1,1299.3,1297.6,1298.3,224441,
2026-07-14 13:45:00,1298.4,1299.1,1297.7,1298.5,145025,
2026-07-14 13:50:00,1298.7,1298.7,1296.1,1296.1,201614,
2026-07-14 13:55:00,1296.2,1296.9,1295.0,1295.8,80591,
2026-07-14 14:00:00,1295.7,1295.9,1294.2,1294.7,75831,
2026-07-14 14:05:00,1295.0,1295.0,1293.0,1293.0,86652,
2026-07-14 14:10:00,1293.1,1294.0,1291.6,1291.7,172364,
2026-07-14 14:15:00,1291.6,1293.7,1290.9,1292.4,247794,
2026-07-14 14:20:00,1292.5,1293.0,1291.0,1291.4,178716,
2026-07-14 14:25:00,1291.7,1292.5,1291.0,1291.8,106320,
2026-07-14 14:30:00,1291.9,1292.2,1291.0,1291.7,65815,
2026-07-14 14:35:00,1291.8,1292.4,1290.2,1291.2,174991,
2026-07-14 14:40:00,1291.0,1291.7,1290.6,1291.0,82329,
2026-07-14 14:45:00,1290.9,1291.9,1290.0,1290.4,173477,
2026-07-14 14:50:00,1290.6,1291.3,1290.1,1290.6,151944,
2026-07-14 14:55:00,1290.3,1292.2,1290.0,1291.3,213184,
2026-07-14 15:00:00,1291.2,1294.0,1291.2,1293.2,523457,
2026-07-14 15:05:00,1293.4,1295.0,1292.5,1293.5,654938,
2026-07-14 15:10:00,1293.1,1295.1,1292.0,1294.3,840509,
2026-07-14 15:15:00,1293.7,1294.3,1289.5,1289.9,736177,
2026-07-14 15:20:00,1290.0,1295.7,1287.5,1295.1,913385,
2026-07-14 15:25:00,1295.0,1296.3,1292.2,1295.0,338298,
