fold,train_start,train_end,test_start,test_end,lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbol,test_trades,test_win_rate,test_net_pnl,test_profit_factor
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,RELIANCE,2,0.0,-131.62,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,TCS,1,0.0,-51.76,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,INFY,0,0.0,0.0,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,HDFCBANK,2,50.0,-19.68,0.6855
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,ICICIBANK,2,0.0,-120.88,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,SBIN,1,0.0,-63.42,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,LT,1,100.0,95.86,inf
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,AXISBANK,1,0.0,-68.43,0.0
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,ITC,6,16.67,-276.69,0.0616
1,2025-01-01,2025-06-25,2025-06-26,2025-08-06,20,60.0,1.5,1.2,2.5,BHARTIARTL,3,33.33,-84.71,0.3342
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,RELIANCE,2,0.0,-115.75,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,TCS,4,25.0,-145.59,0.1999
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,INFY,0,0.0,0.0,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,HDFCBANK,3,0.0,-178.97,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,ICICIBANK,2,50.0,-27.24,0.5299
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,SBIN,1,0.0,-59.97,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,LT,3,0.0,-178.43,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,AXISBANK,0,0.0,0.0,0.0
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,ITC,4,25.0,-133.85,0.1915
2,2025-02-11,2025-08-06,2025-08-07,2025-09-19,20,60.0,1.5,1.2,2.5,BHARTIARTL,1,0.0,-70.37,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,RELIANCE,3,0.0,-180.87,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,TCS,1,0.0,-68.98,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,INFY,1,0.0,-75.89,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,HDFCBANK,4,25.0,-137.33,0.3359
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,ICICIBANK,1,0.0,-64.0,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,SBIN,2,0.0,-151.24,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,LT,2,0.0,-121.44,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,AXISBANK,2,100.0,160.58,inf
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,ITC,2,0.0,-124.24,0.0
3,2025-03-27,2025-09-19,2025-09-22,2025-11-04,20,60.0,1.5,1.2,2.5,BHARTIARTL,2,0.0,-134.08,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,RELIANCE,2,0.0,-118.08,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,TCS,3,33.33,-76.13,0.4405
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,INFY,3,0.0,-215.12,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,HDFCBANK,2,50.0,-18.72,0.6843
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,ICICIBANK,2,0.0,-120.54,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,SBIN,1,0.0,-68.61,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,LT,0,0.0,0.0,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,AXISBANK,4,25.0,-131.25,0.4049
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,ITC,2,0.0,-119.34,0.0
4,2025-05-15,2025-11-04,2025-11-07,2025-12-18,20,60.0,1.5,1.2,2.5,BHARTIARTL,1,0.0,-66.68,0.0
